nombre,url,categoria
Embajada del Perú en Bélgica y Misión Ante la Unión Europea (E-Belgica),https://www.gob.pe/embajada-del-peru-en-belgica,Por clasificar
Embajada del Perú en Canadá (E-Canadá),https://www.gob.pe/embajada-del-peru-en-canada,Por clasificar
Sección Consular de la Embajada del Perú en Canadá (C-Ottawa),https://www.gob.pe/seccion-consular-canada,Por clasificar
Embajada del Perú en Chile (E-Chile),https://www.gob.pe/embajada-del-peru-en-chile,Por clasificar
Consulado General del Perú en Santiago (C-Santiago),https://www.gob.pe/consulado-del-peru-en-santiago,Por clasificar
Consulado General del Perú en Arica (C-Arica),https://www.gob.pe/consulado-del-peru-en-arica,Por clasificar
Consulado General del Perú en Iquique (C-Iquique),https://www.gob.pe/consulado-del-peru-en-iquique,Por clasificar
Embajada del Perú en China (E-China),https://www.gob.pe/embajada-del-peru-en-china,Por clasificar
Embajada del Perú en Colombia (E-Colombia),https://www.gob.pe/embajada-del-peru-en-colombia,Por clasificar
Consulado General del Perú en Bogotá (C-Bogotá),https://www.gob.pe/consulado-del-peru-en-bogota,Por clasificar
Consulado General del Perú en Leticia (C-Leticia),https://www.gob.pe/consulado-del-peru-en-leticia,Por clasificar
Consulado General del Perú en Medellín (C-Medellin),https://www.gob.pe/consulado-del-peru-en-medellin,Por clasificar
Embajada del Perú en Corea (E-Corea),https://www.gob.pe/embajada-del-peru-en-corea,Por clasificar
Sección Consular de la Embajada del Perú en la República de Costa Rica (C-Costa Rica),https://www.gob.pe/seccion-consular-republica-de-costa-rica,Por clasificar
Embajada del Perú en Costa Rica (E-CostaRica),https://www.gob.pe/embajada-del-peru-en-costa-rica,Por clasificar
Embajada del Perú en Cuba (E-Cuba),https://www.gob.pe/embajada-del-peru-en-cuba,Por clasificar
Sección Consular de la Embajada del Perú en la República de Cuba (C-Cuba),https://www.gob.pe/seccion-consular-republica-de-cuba,Por clasificar
Embajada del Perú en Ecuador (E-Ecuador),https://www.gob.pe/embajada-del-peru-en-ecuador,Por clasificar
Consulado General del Perú en Loja (C-Loja),https://www.gob.pe/consulado-del-peru-en-loja,Por clasificar
Consulado General del Perú en Quito (C-Quito),https://www.gob.pe/consulado-del-peru-en-quito,Por clasificar
Consulado General del Perú en Guayaquil (C-Guayaquil),https://www.gob.pe/consulado-del-peru-en-guayaquil,Por clasificar
Embajada del Perú en Egipto (E-Egipto),https://www.gob.pe/embajada-del-peru-en-egipto,Por clasificar
Embajada del Perú en El Salvador (E-ElSalvador),https://www.gob.pe/embajada-del-peru-en-el-salvador,Por clasificar
Embajada del Perú en España (E-España),https://www.gob.pe/embajada-del-peru-en-espana,Por clasificar
Consulado General del Perú en Barcelona (C-Barcelona),https://www.gob.pe/consulado-del-peru-en-barcelona,Por clasificar
