nombre,url,categoria
Iest de Investigaciones Industriales (INDII),https://www.gob.pe/istdeinvestigacionesindustriales,OTROS
Secretaría Nacional de la Juventud (Senaju),https://www.gob.pe/senaju,OTROS
Instituto Peruano del Deporte (IPD),https://www.gob.pe/ipd,INSTITUTO
Superintendencia Nacional de Educación Superior Universitaria (SUNEDU),https://www.gob.pe/sunedu,SUPERINTENDENCIA
Centro Vacacional Huampani (CV HUAMPANI),https://www.gob.pe/huampani,CENTRO
Dirección de Gestión de Recursos Educativos (DIGERE),https://www.gob.pe/digere,OTROS
Consejo Nacional de Educación (CNE),https://www.gob.pe/cne,OTROS
Ministerio de Salud (MINSA),https://www.gob.pe/minsa,MINISTERIO
Instituto Nacional de Enfermedades Neoplásicas (INEN),https://www.gob.pe/inen,INSTITUTO
Instituto Nacional de Salud (INS),https://www.gob.pe/ins,INSTITUTO
Seguro Integral de Salud (SIS),https://www.gob.pe/sis,OTROS
Superintendencia Nacional de Salud (SUSALUD),https://www.gob.pe/susalud,SUPERINTENDENCIA
Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud (CENARES),https://www.gob.pe/cenares,CENTRO
Instituto Nacional Materno Perinatal (INMP),https://www.gob.pe/inmp,INSTITUTO
Instituto Nacional de Ciencias Neurológicas (INCN),https://www.gob.pe/instituto-nacional-de-ciencias-neurologicas,INSTITUTO
Instituto Nacional de Oftalmología (INO),https://www.gob.pe/ino,INSTITUTO
Instituto Nacional de Rehabilitación (INR),https://www.gob.pe/inr,INSTITUTO
Instituto Nacional de Salud Mental Honorio Delgado-hideyo Noguchi (INSMHDHN),https://www.gob.pe/insm,INSTITUTO
Instituto Nacional de Salud del Niño de Breña (INSN),https://www.gob.pe/insn,INSTITUTO
Instituto Nacional de Salud del Niño de San Borja (INSNSB),https://www.gob.pe/insnsb,INSTITUTO
Minsa Móvil (MINSAM),https://www.gob.pe/minsamovil,OTROS
Ministerio de Desarrollo Agrario y Riego (MIDAGRI),https://www.gob.pe/midagri,MINISTERIO
Instituto Nacional de Innovación Agraria (INIA),https://www.gob.pe/inia,INSTITUTO
Servicio Nacional Forestal y de Fauna Silvestre (SERFOR),https://www.gob.pe/serfor,SERVICIO
